$\ddot x^0$,$\ddot y^0$,$\omega_z^0$,$\ddot x^1$,$\ddot y^1$,$\omega_z^1$,$\ddot x^2$,$\ddot y^2$,$\omega_z^2$,$\ddot x^3$,$\ddot y^3$,$\omega_z^3$,$\dot x^4$,$\dot y^4$,$\ddot x^4$,$\ddot y^4$,$\dot x^5$,$\dot y^5$,$\ddot x^5$,$\ddot y^5$
2.387660049065918333e+00,9.606372195687995941e+00,8.234249439457075326e-01,-4.760419908352925944e+00,7.539385818779033244e+00,3.187088230823970636e-01,-9.133129153881722195e-02,1.011630213409319801e+01,-6.705918892387858765e-01,-1.727969212392306941e+00,9.749189692027174559e+00,-3.448169060687515941e-01,1.135189321987580602e+00,1.339245393481536539e-01,7.544735192949465763e-03,-9.030829744907356016e-01,6.166848757519494129e-04,-1.337937396848724869e-03,-8.934259194525596970e-03,-6.441910415946827673e-03
2.462258656796522338e+00,9.337767151273588695e+00,8.160198068082340495e-01,-5.000086632679689558e+00,7.530867531834172013e+00,3.806673866641504533e-01,3.455815306389618535e-01,1.028937246537536510e+01,-7.507747807852055422e-01,-1.168865737347039024e+00,9.939625819601101142e+00,-3.342006735695541852e-01,1.135303458958954792e+00,1.248103121971331081e-01,1.496733594320654587e-02,-9.189327038273711334e-01,4.828922165716065251e-04,-1.282358177546752409e-03,-1.744671574898396665e-02,1.791962701544740078e-02
2.841136929191955041e+00,9.430900839307923889e+00,8.171576341355575313e-01,-4.730196168879167828e+00,7.967583900916793915e+00,3.912377088760157218e-01,6.993793116191974191e-01,9.768848854173560525e+00,-8.186683360088898853e-01,-1.122254069498862528e+00,9.804141334537488817e+00,-2.589473598477326499e-01,1.135479593724091352e+00,1.155620696177452889e-01,1.977956583607186347e-02,-9.299496395354451828e-01,2.790366984100067782e-04,-9.914138625129603755e-04,-2.269907066756902958e-02,3.919557158344959269e-02
2.822236623215851559e+00,8.796517809640747032e+00,7.468767671572723588e-01,-4.666260894603499132e+00,7.929303794004254335e+00,4.288483765381587154e-01,1.495523239281256522e+00,9.556112603452094234e+00,-8.541064452227449255e-01,-4.796047770003903921e-01,9.905789090345960446e+00,-2.365696003634974176e-01,1.135691443626354769e+00,1.062221161421548210e-01,2.216561155864273103e-02,-9.374994922867113667e-01,3.869996796768138125e-05,-5.195922847710116033e-04,-2.478949938646599072e-02,5.349529163435605417e-02
2.918456289865964060e+00,8.915011487770463816e+00,7.212522131558941618e-01,-4.242234090454076956e+00,7.502950562839622251e+00,4.163358764441053572e-01,1.849966684315213161e+00,9.514282699895442619e+00,-8.687190804964279867e-01,-4.979304217402787947e-01,9.737763696514074141e+00,-2.702356426071518825e-01,1.135915821643930901e+00,9.681899659673384728e-02,2.216114940522387333e-02,-9.426545788369943280e-01,-2.076634440545399585e-04,4.668545040239363564e-05,-2.377704056927269077e-02,5.712927420980049020e-02
3.485178387870582206e+00,8.357833515852709283e+00,7.169416177043013150e-01,-4.354996742023457657e+00,7.866249059326460902e+00,4.539511114841797146e-01,2.008435123950624401e+00,9.459017758020756617e+00,-7.970183059139479553e-01,2.170105705286246855e-01,1.007512395240821768e+01,-3.103397274084853108e-01,1.136126396033751540e+00,8.737381454724862939e-02,1.932082458416076523e-02,-9.459943549409848274e-01,-4.274499613980964341e-04,5.840566738950087045e-04,-1.944536247819431130e-02,4.739099033868227062e-02
3.414807487980743073e+00,8.382972211212814884e+00,6.735890368965286035e-01,-4.484068138932667758e+00,7.807875222646491586e+00,4.579644849078856605e-01,2.773757570343409196e+00,9.078170272707115629e+00,-8.098273047931230373e-01,2.968871392074544646e-01,9.634519673797099060e+00,-3.096612342218037495e-01,1.136294266936966446e+00,7.790157139452544288e-02,1.365976679588980225e-02,-9.481763310133667355e-01,-5.894107114018387605e-04,9.663841447710846966e-04,-1.235478282644728726e-02,2.690440788330621114e-02
3.639458315114598719e+00,8.029242707722856309e+00,7.185384726256491827e-01,-4.114587526809708962e+00,7.822336224760225498e+00,5.128301715965493113e-01,3.142959254078212528e+00,9.160281254905342507e+00,-7.168716648395788704e-01,8.718668187452269791e-01,9.577604095359891545e+00,-3.674603403002164592e-01,1.136393527242083756e+00,6.841058251160009318e-02,5.756789720867235699e-03,-9.498591575725874314e-01,-6.713430598285219375e-04,1.119938224471206389e-03,-3.693844339983071157e-03,3.201965682928464840e-03
3.452889995495886044e+00,7.985453802281681668e+00,7.347113705529291217e-01,-3.875240459004412941e+00,7.766623811538732269e+00,4.774489649312282369e-01,3.118824855561052267e+00,8.979620262152609556e+00,-6.556419799790322855e-01,7.155807739989814564e-01,9.658301927991155722e+00,-4.111612378607674700e-01,1.136405695771096624e+00,5.890325533872388386e-02,-3.524218454244439774e-03,-9.515544549168555299e-01,-6.635071321552388213e-04,1.055501247739100423e-03,5.332375684279293260e-03,-1.521479960372489060e-02
3.965743563215288425e+00,7.902017492478491612e+00,6.745720381922498676e-01,-4.325210514758149216e+00,7.796932581842465737e+00,5.244093288046751677e-01,3.439339390869453617e+00,9.053234906192203724e+00,-6.070295466327336742e-01,8.262316301595373780e-01,1.001651833076806852e+01,-4.595163717844474305e-01,1.136323598738551599e+00,4.937632545612331142e-02,-1.267034813563898410e-02,-9.539149741351674594e-01,-5.681128674966950953e-04,8.465407298529591118e-04,1.342619246562964594e-02,-2.451499073815793794e-02
